Contact information:Name,Contact information:Female,Contact information:Age,Contact information:Mother tongue,Contact information:Profession / field of studies,Are you right or left handed?,Which hand do you normally use the mouse with?,Language for typing in this study,Do you have normal or corrected vision?,At which age did you start working with computers?,Do you have permanent access to a computer:,"How many fingers do you usually use for typing, including thumbs?","Do you use the touch typing system with all 10 fingers? If so, how many years of experience do you have?","If so, do you use touch typing every time you type something on a computer?",Have you taken a course to learn typing on a computer?,Have you taught touch typing to yourself?,What did you do to learn touch typing?,Are you able to type without looking at the keyboard?,On how many days per week do you use a computer?,How many hours do you usually use a computer on a normal day?,How many hours per day do you usually spend typing in your free time?,How many hours per day do you usually spend typing at work?,Do you type in languages other than your mother tongue?,"If so, which languages?","If so, how many hours do you spend weekly typing in a foreign language?","If so, how many years have you been typing in a foreign language?","If so, do you use a different keyboard layout for different languages? Which?",What tasks do you perform when using the keyboard?,"If you answered 'other', specify which tasks.","Have you typed papers, reports etc within the last 4-6 weeks?",Have you typed e-mails within the last 4-6 weeks?,Have you used chat programs within the last 4-6 weeks (on the computer)?,Is the ability to type fast important to you?:Important - Irrelevant,Do you specifically practice typing?,"If so, how do you practice?","If so, how often?","If so, how many hours at once?"
5307,0,30,Fi,IT administration,Right handed,Right hand,Fi,Normal,15,"At home, At work",10,10,1,1,1,I used a web page and a learning application,1,7,10,2,8,1,En,20,15,"FI for Finnish, US for English","Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",,3,5,5,1,1,Using web pages/tests and learning applications,A couple of times per year,1
68349,1,24,Fi,Student,Left handed,Right hand,Fi,Corrected,7,"At home, At work",8,0,0,0,0,,1,7,5,1,5,1,"En, German",25,10,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",,20,5,3,4,0,,,
96115,1,23,Fi,special education,Right handed,Right handed,Fi,Normal,5,At home,5,0,0,0,0,,0,7,3,2,0,1,En,1,10,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",,20,2,20,3,0,,,
106194,0,35,Hindi,Doctoral Candidate,Right handed,Right hand,En,Corrected,19,"At home, At work",6,0,0,0,1,,0,7,10,0.5,11,1,En,1,11,0,"Browsing the web, Thesis report or paper writing, Other (specify which)",Circuit designing,25,1,0,3,0,,,
120778,1,25,Fi,Business,Right handed,Right hand,Fi,Corrected,8,"At home, At work",8,0,0,0,0,,1,7,7,1,5,1,En and Swe,10,15,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",,2,7.5,7,1,0,,,
173269,1,25,Rus,Chemical engineering,Right handed,Right hand,En,Normal,12,At home,8,0,0,0,1,Play a typing game,0,7,5,1.5,3,1,"En, Estonian",5,7,"Russian for Russian, Finnish for English and Finnish","Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",,0,4,4,2,0,,,
216367,1,31,En,secretary/translator,Right handed,Right hand,En,Normal,12,"At home, At work",8,17,0,1,1,I just practiced it.,1,7,12,3.5,7.5,1,"Fi, En, French, Swe",35,19,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing, Other (specify which)",Filling out work related forms.,0,12,47.5,2,0,,,
221357,0,29,Korean,HCI researcher,Right handed,Right hand,En,Corrected,9,"At home, At work",9,15,0,0,1,Playing a game for learning typing in Korean. But not with english sentences.,1,7,6,0.5,4,1,En,0,7,We have only one standard layout for both korean and english,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",,30,2,1,1,0,,,
250694,1,22,Swe,Physiotherapy,Right handed,Right handed,Fi,Normal,11,At home,8,0,0,0,0,,1,7,2,1,0,1,"Fi, En",4,11,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",,3,1,1,3,0,,,
267678,1,31,Fi,science communication,Right handed,Right hand,Fi,Normal,6,"At home, At work",8,0,0,0,0,,1,6,7,1,2,1,english,1,8,0,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing, Other (specify which)",I write stories and articles.,6,9,1,2,0,,,
270221,0,26,Fi,Software project lead,Right handed,Right hand,Fi,Normal,6,"At home, At work",8,0,0,0,0,,1,7,8,1,5,1,En,20,8,0,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",,2,10,10,1,0,,,
287951,1,47,Fi,psychology,Right handed,Right hand,Fi,Corrected,21,At home,6,0,0,0,0,,0,7,2,1,0.5,0,,0,0,0,"Browsing the web, E-mailing, Using Microsoft Office, Thesis report or paper writing",,2,2,1.5,4,0,,,
301816,1,20,Fi,Cognitive science,Right handed,Right handed,Fi,Corrected,7,At home,10,0.4,0,0,1,I practiced with a typing program online,1,5.5,2,1,1,1,En,1,6,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",,4,0.5,2,2,1,When writing essays or other longer texts,About 1h/week,1
364976,0,22,Fi,Energy technology,Right handed,Right hand,Fi,Normal,13,"At home, At work",6,0,0,0,0,,1,7,5,4,2,1,En,2,9,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",,0,1,5,2,0,,,
372392,0,27,En,HCI Researcher,Left handed,Right hand,En,Corrected,7,"At home, At work",6,0,0,0,0,,1,7,9,1.5,8,0,,0,0,0,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing, Other (specify which)",Gaming,4.5,1.5,1.5,2,0,,,
376930,1,55,Fi,Dentist,Right handed,Right hand,Fi,Corrected,20,"At home, At work",8,40,1,1,0,,1,7,3,1.5,1.5,1,En,0.25,7,0,"Browsing the web, E-mailing, Chatting, Thesis report or paper writing",,0,1,1,2,0,,,
379044,0,40,Fi,research technician,Right handed,Right hand,Fi,Normal,8,"At home, At work",10,24,0,1,0,,0,7,5,1,1,1,En,0.5,10,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting",,0,1,0,3,0,,,
398591,0,24,Chinese,Electronics Engineering,Right handed,Right hand,En,Corrected,18,At work,10,6,1,0,1,Practice,1,7,8,3,1,1,En,10,6,0,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",,20,2,2,4,0,,,
419655,1,23,Fi,"Craft science, teacher education",Right handed,Right handed,Fi,Normal,7,"At home, At work",9,15,1,0,0,My father forced me to learn when I was little and tought me every week atleast.,1,7,6,2,0,1,En,1,15,0,"Browsing the web, E-mailing",,0,0.5,0.5,2,0,,,
431334,0,30,Fi,Software engineer,Right handed,Right handed,Fi,Normal,5,"At home, At work",10,15,1,1,1,Played a typing learning game.,1,7,11,3,7,1,En and several programming languages.,20,10,0,"Browsing the web, E-mailing, Programming, Chatting",,0,3,10,1,0,,,
438454,1,44,Fi,Executive Assistant,Right handed,Right hand,En,Normal,20,"At home, At work",10,21,1,1,0,,1,6,8,1,8,1,"En, Fi",4,10,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",,16,16,2,1,1,using my ability to write with 10 fingers,Every time I use computer. Almost every day.,"At work 8 hours per a day. When writing my thesis at home, also for several hours at once. Otherwise occcationally. I normally use my smart phone at home, not my laptop."
497021,1,48,Fi,elementary school teacher student,Right handed,Right hand,Fi,Normal,30,At home,8,0,0,0,0,Just by typing and using computer.,1,7,2,0.5,0,1,"En, Swe, Ger",2,16,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing, Other (specify which)",Commenting on facebook,10,0,2,2,0,,,
535385,0,39,Fi,Advisor at Aalto ELEC,Right handed,Right hand,Fi,Normal,12,"At home, At work",10,28,0,1,0,At school,1,6,4,1,3,1,En,2,15,0,"Browsing the web, E-mailing, Using Microsoft Office, Thesis report or paper writing",,9,3,1,2,0,,,
549687,1,23,En,Biomedical engineering,Right handed,Right handed,En,Normal,6,"At home, At work",10,9,0,1,0,,1,7,9,2,7,0,,0,0,0,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",,0,7,6,2,0,,,
554712,1,26,Fi,cognitive science,Right handed,Right hand,Fi,Corrected,12,At home,10,0,0,0,0,,1,5,6,2,0,1,En,2,10,0,"Gaming, Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",,2,2,10,2,0,,,
760858,0,27,Telugu,Msc in Networking Technology,Right handed,Right hand,En,Normal,16,At home,10,2,1,0,1,write random sentences everyday,1,7,10,1,3,1,En,0,0,0,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",,4,1,1,1,0,,,
823773,0,29,Malayalam,Doctoral Student,Right handed,Right hand,En,Corrected,13,"At home, At work",7,0,0,0,0,,1,7,8,0,9,1,En,56,16,US Keyboard for English. Started using the Finnish layout keyboard 1 year back,"Browsing the web, E-mailing, Programming, Chatting, Thesis report or paper writing",,21,0.5,0.5,2,0,,,
851866,1,34,Fi,HR specialist,Right handed,Right hand,Fi,Normal,6,"At home, At work",8,20,1,1,0,,1,6,8,0.5,7.5,1,"En, French",10,15,0,"Browsing the web, E-mailing, Using Microsoft Office, Chatting",,0,20,0,3,0,,,
915322,1,30,Sinhala,PhD student,Left handed,Right hand,En,Corrected,8,"At home, At work",10,13.5,1,1,0,Followed lessons in a typing tutor CD  and also got some lessons in school,1,7,9,0.5,4,1,En,30,20,0,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",,8,10,5,1,0,,,
934313,0,30,Swe,student (philosophy),Right handed,Right hand,En,Normal,10,"At home, At work",6,0,0,0,0,,0,7,10,1,3,1,"En, Fi",6,20,0,"Browsing the web, E-mailing, Using Microsoft Office, Thesis report or paper writing",,20,2,1,3,0,,,
